Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Kızlar Sınıfı,Burç Film,Orhan Elmas,1,Komedi - Gençlik,Kanal D,İlyas Salman - Ayşen Gruda - Gökhan Güney - Ergun Köknar - İlhan Daner - Nilüfer Öz,1994
Tatlı Betüş,Delta Film,Atıf Yılmaz,1,Komedi - Drama,Show TV,Türkân Şoray - Alp Buğdaycı - Tarık Tarcan - Faruk Peker - Aydemir Akbaş - Altan Akışık - Bülent Kayabaş - Taner Barlas - Cem Davran,1993
Artist Palas,Protel,Mahinur Ergun,1,Dram - Romantik - Komedi,Kanal D,Zuhal Olcay - Lale Mansur - Burçin Orhon - Füsun Demirel - Hakan Tanfer,1994
Aziz Ahmet,Med Yapım,Orhan Oğuz,1,Dram - Komedi - Aile,atv,Uğur Yücel - Ayşegül Aldinç,1994
Sokak Şarkıcıları,Yeni Stüdyo,Nazmi Özer,1,Macera - Komedi - Drama,TRT,Ali Poyrazoğlu - Oya Başar - Aysun Güven - Özcan Özgür - Gülşen Gürsoy - İlhan Daner - Alpay İzer,1974
Bizimkiler,Ar Ajans,Yalçın Yelence -  (454 bölüm)  - Erkavim Yıldırım -  (5 bölüm),15,Aile,TRT 1 -   - Star TV -   - Show TV,Erdal Özyağcılar - Ayşe Kökçü - Atılay Uluışık - Ercan Yazgan - Mehmet Akan - Savaş Dinçel - Oktay Sözbir,1989
Uğurlugiller,STR,Gürol Gökçe - Uğur Erkır - Aram Gülyüz,4,Durum komedisi,TRT 1,Yıldız Kenter - Şükran Güngör - Tevfik Gelenbe - Gül Onat - Mehmet Birkiye - Mübeccel Vardar - Ayhan Kavas - Mustafa Alabora - Savaş Dinçel,1988
Şaban Askerde,Kanat Film,Orhan Oğuz,1,Komedi,Star TV,Kemal Sunal - Halit Akçatepe - Özlem Savaş - Canan Öztürk - Yaman Tarcan - Hüseyin Köroğlu - Nihat Nikerel - Dinçer Çekmez,1993
Hüsnü Bey Amca,TRT,Ülkü Erakalın,3,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Tarık Ündüz,1994
Ferhunde Hanımlar,TRT  İç Yapımlar (1993-1994) Ankara ODA Yapım (1995-1999),Tülay Eratalay - Murat Karahüseyinoğlu - Gülsen U. Erişdi - Altan Yücel - [1],7,Dram,TRT 1 -    - Star TV,Beyhan Saran - Baykal Saran - Güven Hokna - Melek Baykal - Hatice Aslan - Şahap Sayılgan - İpek Çeken - Tamer Karadağlı,1993
Kaynanalar,TRT,Tekin Akmansoy - Arzu Akmansoy,14,Sitcom,"TRT -  , ,  - Kanal D",Tekin Akmansoy - Leman Çıdamlı - Defne Yalnız - Sevda Aydan - Ege Aydan - Münir Caner - Sermin Hürmeriç - Sezai Aydın,1974
Kaygısızlar,3 Nokta Film,Oğuz Yalçın - Ayhan Önal - Cankat Ergin - Samim Değer - Temel Gürsu - Uğur Erkır,4,Komedi,"Kanal D -  ,  - Star TV -   - Kanal 6",Ercan Yazgan - Halit Akçatepe - Ayşen Gruda - Gülçin Hatıhan - Çiçek Dilligil - Yılmaz Köksal - Sibel Seyhan - Şoray Uzun - Damla Özen - Yalçın Avşar - Ülkü Duru,1994
Sihirli Safiye,D Productions,Yavuz Figenli,1,Fantastik - Aile - Komedi,Kanal D,Seden Kızıltunç - Oğuz Oktay - Ayben Erman - Şerif Arslan - Fatoş Kara,1994
Türkmen Düğünü,TRT,Adem Ayral,1,Duygusal,TRT 1,Yılmaz Zafer - Ece Pirim - Nilgün Bubikoğlu - Zerrin Çaldıran - Asuman Arsan - Nevin Aypar - Atilla Ergün,1989
Ah Ana,TRT,Tarık Alpagut,1,Komedi - Sitcom - Dram,TRT 1,Beyhan Saran - Halil İbrahim Kalaycıoğlu - Erol Kardeseci - Alpay İzbırak - Nurtekin Odabaşı - Hülya Gülşen Irmak - Jale Aylanç,1988
Sevgi Oyunu,Bop Ajans,Oksal Pekmezoğlu,1,Komedi,Star TV,Aydan Şener - Zehra Alptürk - Nuri Alço - Bülent Bilgiç - Murat Parasayar,1994
Umut Taksi,TRT,Yusuf Kurçenli -  (8 bölüm)  - Avni Kütükoğlu -  (44 bölüm),2,Dram,TRT 1,Dilaver Uyanık - Yılmaz Erdoğan - Ferdi Akarnur - Necati Bilgiç - Tayfun Çorağan - Nüvit Özdoğru - Ayla Algan,1992
Şehnaz Tango,Ar Ajans,Taner Akvardar - Semih Kaplanoğlu - Sadullah Celen - Nursan Esenboğa - Hüdaverdi Yavuz,4,Romantik komedi - Dram - Aşk,Show TV -   - Star TV,Perran Kutman - Erdal Özyağcılar,1994
Bay Kamber,Doku Film,Ünal Küpeli,1,Komedi - Macera - Aile,Star TV,Kemal Sunal - Ebru Şimşek - Murat Aydın - Bülent Bilgiç - Necdet Yakın - Emrah Demirci,1994
Bir Aşk Uğruna,Mine Film,Tunca Yönder,1,Dram,atv,Türkân Şoray - Can Gürzap - Faruk Peker,1994
Portatif Hüseyin,Star 1  (1991-1992)  HBB  (1992-1993),Gül Erbil - Ümit Volkan,2,Komedi,Star TV -   - HBB,Nezih Tuncay - Orçun Sonat - Yasemin Koşat - Ali Yalaz - Hadi Çaman - Halit Akçatepe - Gönül Tuncay - Ayşegül Uygurer,1991
İz Peşinde,TRT,Hüseyin Karakaş,3,Aksiyon - Dram - Duygusal - Gerilim - Macera - Polisiye,TRT 1 -    - Star TV,Mehmet Aslantuğ - Erol Taş - Gülen Karaman - Osman Yağmurdereli - Serdar Bostancı - Bensu Orhunöz - Orsel Sonat,1990
Yuva,TRT,Mehmet Taşdiken,1,Duygusal - Aile,TRT 1,Tamer Yiğit - Sema Çelebi - Muhterem Nur - Mesut Çakarlı - Tunç Güntay - Kuzey Vargın - Nazan Saatçi,1990
Süper Baba,Kare Ajans,Osman Sınav - Tunca Yönder - Orhan Oğuz - Kartal Tibet - Feyzi Tuna,4,Dram,atv,Şevket Altuğ - Jülide Kural - Seray Gözler - Sümer Tilmaç - İsmet Ay - Şevval Sam - Bennu Yıldırımlar,1993
Kuruntu Ailesi,TRT,Uğur Erkır,5,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Zihni Göktay - Can Kolukısa,1985
Kurtuluş,TRT,Ziya Öztan,1,Tarihî,TRT 1,Rutkay Aziz - Mahmut Cevher - Savaş Dinçel - Altan Erkekli - Ayda Aksel - Macide Tanır,1994
Çiçek Taksi,Ulusal Radyo Televizyon Erler Film,Yaşar Seriner - Ümit Efekan - Mehmet Bozkuş - Erdoğan Tokatlı,7,Aile - Komedi,atv -   - TRT 1,Erol Günaydın - Eşref Kolçak - Ümit Yesin - Bekir Aksoy - Cengiz Küçükayvaz -,1995
Karışık İş,Ay Yapım,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Füsun Önal - İsmail İncekara - Saltuk Kaplangı - Gazanfer Ündüz - Fulya Özcan - Çiçek Dilligil - Göksel Kortay,1991
Fırıldak Nuri,Gold Film,Aydın Bağardı,1,Komedi,Star TV,Mehmet Ali Erbil - Hamdi Alkan - Baykal Kent,1995
Zapping Ailesi,Vipsaş,Naci Çelik,1,Aile - Komedi,Kanal D,Selma Güneri - Saadettin Erbil - Tuna Arman - Tuncay Özinel - Engin Tezel - Aytek Yılmaz,1993
Yazlıkçılar,Bugay Yapım,Yalçın Yelence,6,Aile - Komedi - Macera - Duygusal,TRT 1 -    - Star TV,Engin Şenkan - Ayşe Kökçü - Ercan Yazgan - Sıdıka Şenkan - Güzin Özipek,1993
Savcı,Par Productions,Kadir İnanır,1,Politik - Macera,Star TV,Kadir İnanır - Ani İpekkaya - Aylin Arasıl - Diler Saraç - Gökhan Mete - Mustafa Alabora - İsmet Ay,1992
Kimse Durduramaz,Star 1,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Rıza Pekkutsal - Göksel Kortay - Gazanfer Ündüz - Fulya Özcan - Saltuk Kaplangı - Zihni Küçümen - Selahattin Taşdöğen,1991
Kahraman Damat,Star 1,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Halit Akçatepe - Tolga Aşkıner - Nilgün Belgün - Toygun Ateş - Rıza Pekkutsal,1992
Yasemince,Erler Film, Mustafa Şevki Doğan - Kartal Tibet,12,Komedi,Show TV -   - atv -   - Kanal D -   - Star TV -   - FOX -   - Kanal 7 -   -  - Kanaltürk,Yasemin Yalçın - İlyas İlbey,1993
Laf Lafı Açıyor,Medyapım,Cem Özer,3,Komedi - Talkshow,Kanal D,Cem Özer - Müjdat Gezen - Cenk Koray,1991
Ben Olsaydım,STR Film,Uğur Erkır,1,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Hadi Çaman - Saltuk Kaplangı - Doğu Erkan - Cengiz Keskinkılıç - Osman Gidişoğlu - Erdoğan Dikmen - Aliye Tölak,1991
Aysarının Zilleri,TRT,Şahin Gök,1,Dram,TRT 1,Yalçın Dümer Engin İnal Levent İnanır,1992
Kızlar Yurdu,Arajans,Kartal Tibet - (1-19) - Taner Akvardar - (20-26),1,Aile - Komedi,Teleon,Perran Kutman - Alev Emre - Ali Berge - Özdemir Han - Ali Karagöz - Anıl Dalgıç,1992
Zirvedekiler,Erler Film,Halit Refiğ,1,Drama,Show TV,Cüneyt Arkın - Gülşen Bubikoğlu,1995
