Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Kızlar Sınıfı,Burç Film,Orhan Elmas,1,Komedi - Gençlik,Kanal D,İlyas Salman - Ayşen Gruda - Gökhan Güney - Ergun Köknar - İlhan Daner - Nilüfer Öz,1994
Sıdıka,Delta Film Limon Yapım,Mahinur Ergun - Fatmanur Sevinç,3,Komedi,Show TV,Hasibe Eren - Füsun Demirel - Ali Erkazan - Hakan Tanfer,1997
Tatlı Betüş,Delta Film,Atıf Yılmaz,1,Komedi - Drama,Show TV,Türkân Şoray - Alp Buğdaycı - Tarık Tarcan - Faruk Peker - Aydemir Akbaş - Altan Akışık - Bülent Kayabaş - Taner Barlas - Cem Davran,1993
Artist Palas,Protel,Mahinur Ergun,1,Dram - Romantik - Komedi,Kanal D,Zuhal Olcay - Lale Mansur - Burçin Orhon - Füsun Demirel - Hakan Tanfer,1994
Aziz Ahmet,Med Yapım,Orhan Oğuz,1,Dram - Komedi - Aile,atv,Uğur Yücel - Ayşegül Aldinç,1994
Sokak Şarkıcıları,Yeni Stüdyo,Nazmi Özer,1,Macera - Komedi - Drama,TRT,Ali Poyrazoğlu - Oya Başar - Aysun Güven - Özcan Özgür - Gülşen Gürsoy - İlhan Daner - Alpay İzer,1974
Bizimkiler,Ar Ajans,Yalçın Yelence -  (454 bölüm)  - Erkavim Yıldırım -  (5 bölüm),15,Aile,TRT 1 -   - Star TV -   - Show TV,Erdal Özyağcılar - Ayşe Kökçü - Atılay Uluışık - Ercan Yazgan - Mehmet Akan - Savaş Dinçel - Oktay Sözbir,1989
Mirasyediler,Kemal Film,Rabahat Baltacı,1,Komedi - Aile,Show TV,Göksel Arsoy - Açelya Akkoyun - Yalçın Dümer - Tarık Tarcan - Kerim Tekin - Murat Parasayar - İpek Tuzcuoğlu - Ceyda Düvenci,1996
Uğurlugiller,STR,Gürol Gökçe - Uğur Erkır - Aram Gülyüz,4,Durum komedisi,TRT 1,Yıldız Kenter - Şükran Güngör - Tevfik Gelenbe - Gül Onat - Mehmet Birkiye - Mübeccel Vardar - Ayhan Kavas - Mustafa Alabora - Savaş Dinçel,1988
Şaban Askerde,Kanat Film,Orhan Oğuz,1,Komedi,Star TV,Kemal Sunal - Halit Akçatepe - Özlem Savaş - Canan Öztürk - Yaman Tarcan - Hüseyin Köroğlu - Nihat Nikerel - Dinçer Çekmez,1993
Hüsnü Bey Amca,TRT,Ülkü Erakalın,3,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Tarık Ündüz,1994
Ferhunde Hanımlar,TRT  İç Yapımlar (1993-1994) Ankara ODA Yapım (1995-1999),Tülay Eratalay - Murat Karahüseyinoğlu - Gülsen U. Erişdi - Altan Yücel - [1],7,Dram,TRT 1 -    - Star TV,Beyhan Saran - Baykal Saran - Güven Hokna - Melek Baykal - Hatice Aslan - Şahap Sayılgan - İpek Çeken - Tamer Karadağlı,1993
Kaynanalar,TRT,Tekin Akmansoy - Arzu Akmansoy,14,Sitcom,"TRT -  , ,  - Kanal D",Tekin Akmansoy - Leman Çıdamlı - Defne Yalnız - Sevda Aydan - Ege Aydan - Münir Caner - Sermin Hürmeriç - Sezai Aydın,1974
