Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Sır Dosyası,Sinerji,Taylan Biraderler,1,Polisiye,Star TV,Taner Birsel - Mehmet Günsür - Ayça Bingöl - Zafer Ergin,1999
Kızlar Sınıfı,Burç Film,Orhan Elmas,1,Komedi - Gençlik,Kanal D,İlyas Salman - Ayşen Gruda - Gökhan Güney - Ergun Köknar - İlhan Daner - Nilüfer Öz,1994
Sıdıka,Delta Film Limon Yapım,Mahinur Ergun - Fatmanur Sevinç,3,Komedi,Show TV,Hasibe Eren - Füsun Demirel - Ali Erkazan - Hakan Tanfer,1997
En Son Babalar Duyar,Mint Prodüksiyon,Sibel Kocataş - Funda Karagöz,5,Durum komedisi - Aile - Dram,TRT 1 -    - Star TV,Ayşegül Atik - Ali Erkazan - Levent Ülgen - Hatice Aslan,2002
Karanlıkta Koşanlar,TRT,Uğur Yücel,1,Macera - Polisiye,TRT 1,Uğur Yücel - Haluk Bilginer - Altan Karındaş - Köksal Engür - Devin Özgür Çınar - Parkan Özturan - Levend Yılmaz,2001
Ekmek Teknesi,Sinegraf  (2002-2004) Pana Film  (2004-2005),Metin Günay - Osman Sınav - Gürsel Ateş - Sadullah Şentürk,3,Komedi - Dram,atv -   - Show TV,Savaş Dinçel - Sermin Hürmeriç - Hasan Kaçan - Kadir Çöpdemir - Ahmet Yenilmez,2002
Tatlı Betüş,Delta Film,Atıf Yılmaz,1,Komedi - Drama,Show TV,Türkân Şoray - Alp Buğdaycı - Tarık Tarcan - Faruk Peker - Aydemir Akbaş - Altan Akışık - Bülent Kayabaş - Taner Barlas - Cem Davran,1993
Artist Palas,Protel,Mahinur Ergun,1,Dram - Romantik - Komedi,Kanal D,Zuhal Olcay - Lale Mansur - Burçin Orhon - Füsun Demirel - Hakan Tanfer,1994
Avrupa Yakası,Plato Film,Hakan Algül (1-41)  - Jale Atabey -  (42-190),6,Durum komedisi,atv,Gazanfer Özcan - Hümeyra - Müşfik Kenter - Gönül Ülkü - Ata Demirer - Gülse Birsel - Engin Günaydın - Levent Üzümcü - Şenay Gürler - Bülent Polat - Veysel Diker - Yıldırım Öcek - Yavuz Seçkin - Hale Caneroğlu - Evrim Akın - Vural Çelik - Hasibe Eren - Tolga Çevik - Sarp Apak - Peker Açıkalın - Binnur Kaya - Hakan Yılmaz - Ömür Arpacı - Rutkay Aziz - Suna Keskin -  ve  - diğerleri,2004
Aziz Ahmet,Med Yapım,Orhan Oğuz,1,Dram - Komedi - Aile,atv,Uğur Yücel - Ayşegül Aldinç,1994
Sırlar Dünyası,Samanyolu TV,Taner Tunç - Avni Kütükoğlu - Şenol Sönmez,5,Dram,Samanyolu TV,Aslıhan Güner - Orhan Bıyıklı - Ozan Çobanoğlu,2004
Sokak Şarkıcıları,Yeni Stüdyo,Nazmi Özer,1,Macera - Komedi - Drama,TRT,Ali Poyrazoğlu - Oya Başar - Aysun Güven - Özcan Özgür - Gülşen Gürsoy - İlhan Daner - Alpay İzer,1974
Bizimkiler,Ar Ajans,Yalçın Yelence -  (454 bölüm)  - Erkavim Yıldırım -  (5 bölüm),15,Aile,TRT 1 -   - Star TV -   - Show TV,Erdal Özyağcılar - Ayşe Kökçü - Atılay Uluışık - Ercan Yazgan - Mehmet Akan - Savaş Dinçel - Oktay Sözbir,1989
Mirasyediler,Kemal Film,Rabahat Baltacı,1,Komedi - Aile,Show TV,Göksel Arsoy - Açelya Akkoyun - Yalçın Dümer - Tarık Tarcan - Kerim Tekin - Murat Parasayar - İpek Tuzcuoğlu - Ceyda Düvenci,1996
Kırık Ayna,Gold Film,Şerif Gören -,1,Dram - Aksiyon,Kanal D,Kadir İnanır - Yeşim Büber - Selma Güneri - Burak Hakkı - Mine Çayıroğlu - Sinem Güven - Bülent Kayabaş -,2002
Yılan Hikâyesi,Yağmur Ajans,Nihat Durak,3,Dram - Komedi - Polisiye,Kanal D,Meltem Cumbul - Memet Ali Alabora,1999
Uğurlugiller,STR,Gürol Gökçe - Uğur Erkır - Aram Gülyüz,4,Durum komedisi,TRT 1,Yıldız Kenter - Şükran Güngör - Tevfik Gelenbe - Gül Onat - Mehmet Birkiye - Mübeccel Vardar - Ayhan Kavas - Mustafa Alabora - Savaş Dinçel,1988
Şaban Askerde,Kanat Film,Orhan Oğuz,1,Komedi,Star TV,Kemal Sunal - Halit Akçatepe - Özlem Savaş - Canan Öztürk - Yaman Tarcan - Hüseyin Köroğlu - Nihat Nikerel - Dinçer Çekmez,1993
Serseri,Yağmur Ajans,Cem Akyoldaş,2,Romantik - Drama - Komedi,Kanal D,Gamze Özçelik - Okan Yalabık - Erkan Petekkaya - Cüneyt Arkın,2003
Hüsnü Bey Amca,TRT,Ülkü Erakalın,3,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Tarık Ündüz,1994
Ferhunde Hanımlar,TRT  İç Yapımlar (1993-1994) Ankara ODA Yapım (1995-1999),Tülay Eratalay - Murat Karahüseyinoğlu - Gülsen U. Erişdi - Altan Yücel - [1],7,Dram,TRT 1 -    - Star TV,Beyhan Saran - Baykal Saran - Güven Hokna - Melek Baykal - Hatice Aslan - Şahap Sayılgan - İpek Çeken - Tamer Karadağlı,1993
Esir Şehrin İnsanları,TRT,Cafer Özgül,1,Dram - Tarihî,TRT 1,Emre Kınay - Zeynep Tokuş - Fikret Kuşkan - Başak Köklükaya - Seray Sever - Zafer Algöz - Ali Sirmen,2003
Eyvah Kızım Büyüdü,ANS,Orhan Cesur - Filiz Kaynak - Bülent Özdural,2,Komedi,Kanal D,Haluk Bilginer - Yıldız Asyalı - Alp Öyken - Uğur Kıvılcım - Savaş Ay,2000
Haziran Gecesi,Gold Film,Andaç Haznedaroğlu,2,Dram,Kanal D,Özcan Deniz - Naz Elmas - Nebahat Çehre - Demir Karahan,2004
Eltiler,Renk Yapım,Mahinur Ergun - Uğur Erkır - Serpil Kurtça - Erdoğan Ergözen,2,"Komedi - ,  - Duygusal - ,  - Aile",TGRT,Sevinç Aktansel - Engin Şenkan - Betül Arım - Ayşen İnci,1998
