Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Sokak Şarkıcıları,Yeni Stüdyo,Nazmi Özer,1,Macera - Komedi - Drama,TRT,Ali Poyrazoğlu - Oya Başar - Aysun Güven - Özcan Özgür - Gülşen Gürsoy - İlhan Daner - Alpay İzer,1974
Bizimkiler,Ar Ajans,Yalçın Yelence -  (454 bölüm)  - Erkavim Yıldırım -  (5 bölüm),15,Aile,TRT 1 -   - Star TV -   - Show TV,Erdal Özyağcılar - Ayşe Kökçü - Atılay Uluışık - Ercan Yazgan - Mehmet Akan - Savaş Dinçel - Oktay Sözbir,1989
Uğurlugiller,STR,Gürol Gökçe - Uğur Erkır - Aram Gülyüz,4,Durum komedisi,TRT 1,Yıldız Kenter - Şükran Güngör - Tevfik Gelenbe - Gül Onat - Mehmet Birkiye - Mübeccel Vardar - Ayhan Kavas - Mustafa Alabora - Savaş Dinçel,1988
Kaynanalar,TRT,Tekin Akmansoy - Arzu Akmansoy,14,Sitcom,"TRT -  , ,  - Kanal D",Tekin Akmansoy - Leman Çıdamlı - Defne Yalnız - Sevda Aydan - Ege Aydan - Münir Caner - Sermin Hürmeriç - Sezai Aydın,1974
Türkmen Düğünü,TRT,Adem Ayral,1,Duygusal,TRT 1,Yılmaz Zafer - Ece Pirim - Nilgün Bubikoğlu - Zerrin Çaldıran - Asuman Arsan - Nevin Aypar - Atilla Ergün,1989
Ah Ana,TRT,Tarık Alpagut,1,Komedi - Sitcom - Dram,TRT 1,Beyhan Saran - Halil İbrahim Kalaycıoğlu - Erol Kardeseci - Alpay İzbırak - Nurtekin Odabaşı - Hülya Gülşen Irmak - Jale Aylanç,1988
İz Peşinde,TRT,Hüseyin Karakaş,3,Aksiyon - Dram - Duygusal - Gerilim - Macera - Polisiye,TRT 1 -    - Star TV,Mehmet Aslantuğ - Erol Taş - Gülen Karaman - Osman Yağmurdereli - Serdar Bostancı - Bensu Orhunöz - Orsel Sonat,1990
Yuva,TRT,Mehmet Taşdiken,1,Duygusal - Aile,TRT 1,Tamer Yiğit - Sema Çelebi - Muhterem Nur - Mesut Çakarlı - Tunç Güntay - Kuzey Vargın - Nazan Saatçi,1990
Kuruntu Ailesi,TRT,Uğur Erkır,5,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Zihni Göktay - Can Kolukısa,1985
Geçmiş Bahar Mimozaları,TRT,Okan Uysaler,1,Dram - Psikolojik,TRT 1,Filiz Akın - Rutkay Aziz - Ceylan Palay - Müşfik Kenter - Güler Ökten - Nurseli İdiz - Musa Uzunlar,1989
Gençler,TRT,Adem Kılıç,1,Duygusal - Gençlik - Komedi,TRT 1,Ziya Kürküt - Fikret Kuşkan - Oktay Kaynarca - Bilge Parlak - Melike Altunbaran - Zeynep Özden Ayyıldız - Çetin Etili,1989
Kanun Savaşçıları,TRT,Emin Gerçeker,1,Aksiyon - Macera - Polisiye,TRT 1,Serdar Gökhan - Eşref Kolçak - Özlem Savaş - Yusuf Sezgin - Savaş Akova - Orsel Sonat - Sermin Karaali - Perin Karaali - Tanju Şarman,1989
