Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Sır Dosyası,Sinerji,Taylan Biraderler,1,Polisiye,Star TV,Taner Birsel - Mehmet Günsür - Ayça Bingöl - Zafer Ergin,1999
Sen de Gitme,NTC Medya,Türkan Derya,2,Dram - Medikal,TRT 1,Sinan Albayrak - Sezin Akbaşoğulları - Alican Yücesoy - Didem İnselel - Miraç Eronat - Batuhan Karacakaya,2011
Kaybolan Yıllar,Base Productions,Zeynep Günay - Gülçin Gülbahçe,2,Dram - Duygusal - Polisiye - Aşk,Star TV,Yeşim Büber - Saruhan Hünel - Burak Hakkı,2006
Kızlar Sınıfı,Burç Film,Orhan Elmas,1,Komedi - Gençlik,Kanal D,İlyas Salman - Ayşen Gruda - Gökhan Güney - Ergun Köknar - İlhan Daner - Nilüfer Öz,1994
Hanım Köylü,Gold Film,Mustafa Şevki Doğan,1,Aile - Romantik komedi,Star TV,Yusuf Çim - Gülsim Ali - Mehmet Özgür - Toygan Avanoğlu,2016
Küçük Sırlar,Tims Productions,Cevriye Demir,2,Gençlik - Drama,Kanal D -    - Star TV,Sinem Kobal - Burak Özçivit - Merve Boluğur - Birkan Sokullu - İpek Karapınar - Kadir Doğulu,2010
Sıdıka,Delta Film Limon Yapım,Mahinur Ergun - Fatmanur Sevinç,3,Komedi,Show TV,Hasibe Eren - Füsun Demirel - Ali Erkazan - Hakan Tanfer,1997
Parmaklıklar Ardında,Play Prodüksiyon,Hakan Gürtop - (1. sezon)  - Nisan Akman -  (2 ve 3. sezon),3,Suç - Dram,atv,Selda Alkor - Serra Yılmaz - Yelda Reynaud - Özlem Düvencioğlu - Zeynep Eronat - Sinan Albayrak - Cengiz Bozkurt - Başak Daşman - Pınar Dikici - Özgül Kavruk - Zehra Alptürk - Ogün Kaptanoğlu - İsmail Düvenci - Onuryay Evrentan - Müfide İnselel - Zeynep Kızıltan - Nurhan Özenen - Meltem Pamirtan - Iraz Yöntem - Pınar Ünsal - Beste Bereket - Neriman Uğur - Dilşad Bozyiğit - Mine Çayıroğlu - Fikret Kuşkan - Rüçhan Çalışkur - Zeynep Gülmez - Tardu Flordun,2007
En Son Babalar Duyar,Mint Prodüksiyon,Sibel Kocataş - Funda Karagöz,5,Durum komedisi - Aile - Dram,TRT 1 -    - Star TV,Ayşegül Atik - Ali Erkazan - Levent Ülgen - Hatice Aslan,2002
Karanlıkta Koşanlar,TRT,Uğur Yücel,1,Macera - Polisiye,TRT 1,Uğur Yücel - Haluk Bilginer - Altan Karındaş - Köksal Engür - Devin Özgür Çınar - Parkan Özturan - Levend Yılmaz,2001
Aşk ve Mavi,NTC Medya,Hakan Arslan,3,Dram,atv,Emrah -  (1-74) - Burcu Kıratlı - Keremcem - Cüneyt Mete - Kenan Bal - Ayşegül Ünsal - Işıl Yücesoy -  (1-63),2016
Ekmek Teknesi,Sinegraf  (2002-2004) Pana Film  (2004-2005),Metin Günay - Osman Sınav - Gürsel Ateş - Sadullah Şentürk,3,Komedi - Dram,atv -   - Show TV,Savaş Dinçel - Sermin Hürmeriç - Hasan Kaçan - Kadir Çöpdemir - Ahmet Yenilmez,2002
Bir Varmış Bir Yokmuş,BKM,Bülent İşbilen,1,Dram,Star TV,Ahmet Mekin - Onur Ünsal - Şahika Koldemir - Servet Pandur - Serdar Yeğin - Türkan Kılıç - Erkan Bektaş - Turgay Tanülkü - Esra Kızıldoğan - Burak Davutoğlu - Candan Ersoy - Erk Bilgiç - Ceren Olcayto - Selen Öztürk - Tuba Erdem - Ozan Bilen - Sıla Çetindağ - Şebnem Gürsoy - Bülent İşbilen,2008
Muhteşem Yüzyıl,Tims Productions,Taylan Biraderler -  (1-103) - Yağız Alp Akaydın -  (104-139) - Mert Baykal -  (104-139),4,Tarihî - Kurgu,Show TV -    - Star TV,Halit Ergenç - Meryem Uzerli - Vahide Perçin - Nebahat Çehre - Okan Yalabık - Nur Fettahoğlu - Selma Ergeç,2011
Unutma Beni,Focus Film,Gülşen Erişdi - Mihriban Şahin,8,Aile - Dram,FOX,Osman Karakoç - Didem Özkavukçu,2008
Tatlı Betüş,Delta Film,Atıf Yılmaz,1,Komedi - Drama,Show TV,Türkân Şoray - Alp Buğdaycı - Tarık Tarcan - Faruk Peker - Aydemir Akbaş - Altan Akışık - Bülent Kayabaş - Taner Barlas - Cem Davran,1993
Artist Palas,Protel,Mahinur Ergun,1,Dram - Romantik - Komedi,Kanal D,Zuhal Olcay - Lale Mansur - Burçin Orhon - Füsun Demirel - Hakan Tanfer,1994
Avrupa Yakası,Plato Film,Hakan Algül (1-41)  - Jale Atabey -  (42-190),6,Durum komedisi,atv,Gazanfer Özcan - Hümeyra - Müşfik Kenter - Gönül Ülkü - Ata Demirer - Gülse Birsel - Engin Günaydın - Levent Üzümcü - Şenay Gürler - Bülent Polat - Veysel Diker - Yıldırım Öcek - Yavuz Seçkin - Hale Caneroğlu - Evrim Akın - Vural Çelik - Hasibe Eren - Tolga Çevik - Sarp Apak - Peker Açıkalın - Binnur Kaya - Hakan Yılmaz - Ömür Arpacı - Rutkay Aziz - Suna Keskin -  ve  - diğerleri,2004
Aşk ve Günah,D Productions,Atilla Cengiz - Irmak Çengel,1,Aşk - Drama,Kanal D,İlknur Şaşmazer - Türkan Kılıç - Seren Deniz Yalçın - Tekin Temel,2015
Gece Gündüz,Altıoklar Film,Metin Balekoğlu - Sarp Levendoğlu,1,Komedi - Polisiye - Suç - Dram,Kanal D,Damla Sönmez - Sarp Levendoğlu - Settar Tanrıöğen,2008
Ben Onu Çok Sevdim,Pana Film,Mehmet Bahadır Er - Eylem Koza,1,Dram - Politik,atv,Mehmet Aslantuğ - İdil Fırat - Birce Akalay - Şemsi İnkaya - Rıza Akın - Erdinç Gülener - Mehmetcan Mincinozlu - Savaş Zafer - Ege Aydan - Kerem Alışık - Devrim Yakut,2013
Tek Türkiye,Ser Film,Naci Çelik Berksoy - Gürsel Ateş,4,Dram - Aksiyon,Samanyolu TV,Ergün Kuyucu -  Ozan Çobanoğlu - Süleyman Karadağ,2007
Aziz Ahmet,Med Yapım,Orhan Oğuz,1,Dram - Komedi - Aile,atv,Uğur Yücel - Ayşegül Aldinç,1994
Geniş Aile,D Productions,Ömer Uğur,3,Komedi - Aile,Kanal D -    - Star TV,Ufuk Özkan - Zuhal Topal - Rojda Demirer - Rasim Öztekin - Fırat Tanış - Mine Teber - İlker Ayrık,2009
Serçe Sarayı,Endemol Shine Turkey Bazıfilmler,Mesude Erarslan Tekin -  (1-5) - Ömür Atay -  (6-13),1,Drama - Aşk,Star TV,Songül Öden - Mert Fırat - Alican Yücesoy - Esra Dermancıoğlu - Selen Öztürk - Serkan Ercan - Erkan Bektaş - Turgay Kantürk,2015
Veda,Medyapım,Merve Girgin,1,Drama - Aşk - Tarihî,Kanal D,Mehmet Aslantuğ - Fahriye Evcen - Maral Üner - Jale Arıkan - Sevda Erginci - Ahmet Tansu Taşanlar,2012
